Age,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Fat_Percentage,Water_Intake_liters,Workout_Frequency_(days/week),Experience_Level,BMI,BMI_fixed,Duration_Category,Intensity,HRR,Hydration_Ratio,BPM_Efficiency,Gender_Male,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga,Workout_Type_\nStrength,Workout_Type_\tCardio,Workout_Type_\tYoga,cluster,cluster_label
34.0,86.7,1.86,174.0,152.0,74.0,1.12,712.0,12.8,2.4,5.0,2.0,14.31,25.060700659035724,Medium,635.7142857142857,100.0,0.027681660899653977,0.8735632183908046,False,False,True,False,False,False,False,-1,Active
26.0,84.7,1.83,166.0,156.0,73.0,1.0,833.0,27.9,2.8,5.0,2.0,33.49,25.291886888231954,Medium,833.0,93.0,0.033057851239669415,0.9397590361445783,False,False,True,False,False,False,False,-1,Active
22.0,64.8,1.85,187.0,166.0,64.0,1.24,1678.0,28.7,1.9,3.0,2.0,12.73,18.93352812271731,Medium,1353.225806451613,123.0,0.029320987654320986,0.8877005347593583,True,False,False,False,False,False,False,0,Active
54.0,75.3,1.82,187.0,169.0,58.0,1.45,628.0,31.8,2.4,4.0,1.0,20.37,22.732761743750753,Medium,433.1034482758621,129.0,0.03187250996015936,0.9037433155080213,False,False,False,False,False,False,False,-1,Active
34.0,52.8,1.74,177.0,169.0,66.0,1.6,1286.0,26.4,3.2,4.0,2.0,20.83,17.43955608402695,Long,803.75,111.0,0.060606060606060615,0.9548022598870056,False,False,True,False,False,False,False,-1,Active
38.0,53.0,1.58,161.0,128.0,74.0,1.62,953.0,23.4,2.5,2.0,2.0,13.02,21.230572023714146,Long,588.2716049382716,87.0,0.04716981132075472,0.7950310559006211,False,True,False,False,False,False,False,0,Active
44.0,46.5,1.81,191.0,142.0,74.0,1.46,1238.0,11.9,3.7,2.0,2.0,18.12,14.193705930832392,Medium,847.945205479452,117.0,0.07956989247311828,0.743455497382199,False,False,False,False,False,False,False,-1,Active
50.0,88.5,1.63,181.0,136.0,63.0,1.63,829.0,11.6,1.8,4.0,2.0,19.16,33.309496029206976,Long,508.58895705521473,118.0,0.02033898305084746,0.7513812154696132,False,False,True,False,False,False,False,-1,Active
18.0,82.9,1.54,174.0,169.0,64.0,0.77,802.0,27.8,2.2,3.0,1.0,49.84,34.95530443582392,Medium,1041.5584415584415,110.0,0.026537997587454766,0.9712643678160919,False,True,False,False,False,False,False,-1,Active
34.0,65.9,1.74,195.0,169.0,73.0,2.0,1231.0,30.5,3.2,5.0,2.0,12.32,21.766415642753337,Long,615.5,122.0,0.048558421851289835,0.8666666666666667,False,False,False,True,False,False,False,0,Active
