Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_(days/week),Experience_Level,BMI,BMI_fixed,Intensity,HRR,BPM_Efficiency,Hydration_Ratio,cluster,activity_level,recommendation
34.0,Female,86.7,1.86,174.0,152.0,74.0,1.12,712.0,Strength,12.8,2.4,5.0,2.0,14.31,25.060700659035724,635.7142857142857,100.0,0.8735632183908046,0.027681660899653977,-1,Less Active,Light exercise 1-2x/week
26.0,Female,84.7,1.83,166.0,156.0,73.0,1.0,833.0,Strength,27.9,2.8,5.0,2.0,33.49,25.291886888231954,833.0,93.0,0.9397590361445783,0.033057851239669415,-1,Less Active,Light exercise 1-2x/week
22.0,Male,64.8,1.85,187.0,166.0,64.0,1.24,1678.0,Cardio,28.7,1.9,3.0,2.0,12.73,18.93352812271731,1353.225806451613,123.0,0.8877005347593583,0.029320987654320986,-1,Very Active,High-intensity interval training 3-4x/week
54.0,Female,75.3,1.82,187.0,169.0,58.0,1.45,628.0,Cardio,31.8,2.4,4.0,1.0,20.37,22.732761743750753,433.1034482758621,129.0,0.9037433155080213,0.03187250996015936,-1,Moderate,Moderate cardio 2-3x/week
34.0,Female,52.8,1.74,177.0,169.0,66.0,1.6,1286.0,Strength,26.4,3.2,4.0,2.0,20.83,17.43955608402695,803.75,111.0,0.9548022598870056,0.060606060606060615,-1,Active,Strength and cardio mix 3x/week
38.0,Female,53.0,1.58,161.0,128.0,74.0,1.62,953.0,HIIT,23.4,2.5,2.0,2.0,13.02,21.230572023714146,588.2716049382716,87.0,0.7950310559006211,0.04716981132075472,-1,Moderate,Moderate cardio 2-3x/week
44.0,Female,46.5,1.81,191.0,142.0,74.0,1.46,1238.0,Cardio,11.9,3.7,2.0,2.0,18.12,14.193705930832392,847.945205479452,117.0,0.743455497382199,0.07956989247311828,-1,Active,Strength and cardio mix 3x/week
50.0,Female,88.5,1.63,181.0,136.0,63.0,1.63,829.0,Strength,11.6,1.8,4.0,2.0,19.16,33.309496029206976,508.58895705521473,118.0,0.7513812154696132,0.02033898305084746,-1,Moderate,Moderate cardio 2-3x/week
18.0,Female,82.9,1.54,174.0,169.0,64.0,0.77,802.0,HIIT,27.8,2.2,3.0,1.0,49.84,34.95530443582392,1041.5584415584415,110.0,0.9712643678160919,0.026537997587454766,-1,Moderate,Moderate cardio 2-3x/week
34.0,Female,65.9,1.74,195.0,169.0,73.0,2.0,1231.0,Yoga,30.5,3.2,5.0,2.0,12.32,21.766415642753337,615.5,122.0,0.8666666666666667,0.048558421851289835,-1,Moderate,Moderate cardio 2-3x/week
39.0,Female,47.0,1.78,181.0,155.0,55.0,1.89,747.0,Yoga,31.7,2.3,3.0,3.0,28.39,14.833985607877793,395.23809523809524,126.0,0.856353591160221,0.04893617021276595,-1,Moderate,Moderate cardio 2-3x/week
46.0,Male,40.0,1.88,168.0,131.0,69.0,2.0,672.0,,25.4,2.4,2.0,2.0,12.32,11.317338162064283,336.0,99.0,0.7797619047619048,0.06,-1,Moderate,Moderate cardio 2-3x/week
